Movie,Author,linkified
Clueless ,Amy Heckerling,Clueless.html
"Cooler, The ","Frank Hannah,Wayne Kramer","Cooler,-The.html"
Cradle 2 the Grave ,"John O'Brian,Channing Gibson",Cradle-2-the-Grave.html
"Crazy, Stupid, Love ",Dan Fogelman,"Crazy,-Stupid,-Love.html"
Crime Spree ,Brad Mirman,Crime-Spree.html
"Croods, The ","Kirk DeMicco,Chris Sanders","Croods,-The.html"
Custody ,Eric Stuyvesant,Custody.html
Dark Star ,"John Carpenter,Dan O'Bannon",Dark-Star.html
Date Night ,Josh Klausner,Date-Night.html
Dave Barry's Complete Guide to Guys ,"Jeff Arch,Dave Barry",Dave-Barry's-Complete-Guide-to-Guys.html
Death at a Funeral ,"Chris Rock,Aeysha Carr",Death-at-a-Funeral.html
Death to Smoochy ,Marty Kaplan,Death-to-Smoochy.html
"Descendants, The ","Alexander Payne,Nat Faxon,Jim Rash","Descendants,-The.html"
Despicable Me 2 ,"Cinco Paul,Ken Daurio",Despicable-Me-2.html
Detroit Rock City ,Carl V Dupre,Detroit-Rock-City.html
Diner ,Barry Levinson,Diner.html
"Distinguished Gentleman, The ",Adam Resnick,"Distinguished-Gentleman,-The.html"
Do The Right Thing ,Spike Lee,Do-The-Right-Thing.html
Dog Day Afternoon ,Frank Pierson,Dog-Day-Afternoon.html
Dogma ,Kevin Smith,Dogma.html
Drop Dead Gorgeous ,Lona Williams,Drop-Dead-Gorgeous.html
Duck Soup ,"Bert Kelmer,Harry Ruby,Grover Jones",Duck-Soup.html
Dumb and Dumber ,"Peter Farrelly,Bobby Farrelly, Bennett Yellin",Dumb-and-Dumber.html
Easy A ,Bert V. Royal,Easy-A.html
Ed TV ,"Emile Gaudreault,Sylvie Bochard",Ed-TV.html
Ed Wood ,"Scott Alexander,Larry Karaszewski,Tim Burton",Ed-Wood.html
Eight Legged Freaks ,"Jesse Alexander, Ellory Elkayem",Eight-Legged-Freaks.html
Election ,"Alexander Payne,Jim Taylor",Election.html
Entrapment ,"Ronald Bass,Michael Herzberg",Entrapment.html
Erin Brockovich ,Susannah Grant,Erin-Brockovich.html
Even Cowgirls Get the Blues ,"Tom Robbins,Gus Van Sant",Even-Cowgirls-Get-the-Blues.html
Evil Dead ,Sam Raimi,Evil-Dead.html
Evil Dead II: Dead by Dawn ,"Sam Raimi,Scott Spiegel",Evil-Dead-II:-Dead-by-Dawn.html
Extract ,Mike Judge,Extract.html
"Family Man, The ","David Diamond,David Weissman","Family-Man,-The.html"
Fantastic Mr Fox ,"Roald Dahl,Wes Anderson,Noah Baumbach",Fantastic-Mr-Fox.html
Fargo ,"Joel Coen,Ethan Coen",Fargo.html
Fast Times at Ridgemont High ,Cameron Crowe,Fast-Times-at-Ridgemont-High.html
Fatal Instinct ,David O'Malley,Fatal-Instinct.html
Fear and Loathing in Las Vegas ,"Terry Gilliam,Tony Grisoni",Fear-and-Loathing-in-Las-Vegas.html
Feast ,"Patrick Melton,Marcus Dunston",Feast.html
Ferris Bueller's Day Off ,John Hughes,Ferris-Bueller's-Day-Off.html
